GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dRotateElement,336,0,24,0,106,0,38,0,26,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dCubeElement,335,0,24,0,107,0,38,0,26,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dSceneElement,1015,0,62,0,316,0,104,0,73,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dSphereElement,335,0,24,0,106,0,38,0,26,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dExtrudeElement,336,0,24,0,106,0,38,0,26,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dLightElement,140,0,10,0,46,0,17,0,12,0
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemMapNamedElement,67,0,4,0,24,0,9,0,7,0
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemMapEntryElement,121,0,4,0,41,0,12,0,10,0
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemElement,96,0,10,0,32,0,14,0,9,0
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemSetElement,121,0,4,0,41,0,12,0,10,0
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemMapIndexedElement,67,0,4,0,24,0,9,0,7,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeAnnotationElement,428,0,26,0,134,0,46,0,33,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentSettingsElement,95,0,6,0,33,0,12,0,9,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeMetaElement,285,0,2,0,88,0,24,0,23,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDdeSourceElement,196,0,14,0,65,0,23,0,16,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeFontFaceDeclsElement,42,0,2,0,16,0,6,0,5,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeBinaryDataElement,26,0,2,0,11,0,5,0,4,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeMasterStylesElement,73,0,2,0,26,0,8,0,7,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentContentElement,134,0,6,0,45,0,15,0,12,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeChangeInfoElement,65,0,2,0,21,0,8,0,7,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeImageElement,39,0,2,0,14,0,6,0,5,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeSettingsElement,42,0,2,0,16,0,6,0,5,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeSpreadsheetElement,322,0,8,0,103,0,29,0,25,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentStylesElement,82,0,6,0,29,0,11,0,8,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeScriptsElement,55,0,2,0,20,0,7,0,6,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentMetaElement,95,0,6,0,33,0,12,0,9,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeScriptElement,54,0,4,0,19,0,8,0,6,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDatabaseElement,104,0,2,0,34,0,11,0,10,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeFormsElement,112,0,6,0,36,0,13,0,10,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeBodyElement,117,0,2,0,38,0,12,0,11,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentElement,214,0,8,0,70,0,22,0,18,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeStylesElement,453,0,2,0,144,0,30,0,29,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeEventListenersElement,64,0,2,0,23,0,7,0,6,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDrawingElement,226,0,2,0,73,0,19,0,18,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficePresentationElement,290,0,2,0,93,0,23,0,22,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeTextElement,873,0,6,0,267,0,62,0,59,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeChartElement,226,0,2,0,72,0,19,0,18,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeAutomaticStylesElement,193,0,2,0,63,0,16,0,15,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeAnnotationEndElement,54,0,4,0,20,0,8,0,6,0
