GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dRotateElement,336,0,24,0,106,0,38,0,26,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dCubeElement,335,0,24,0,107,0,38,0,26,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dSceneElement,1010,5,62,0,315,1,103,1,72,1
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dSphereElement,335,0,24,0,106,0,38,0,26,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dExtrudeElement,336,0,24,0,106,0,38,0,26,0
ODFDOM,org.odftoolkit.odfdom.dom.element.dr3d,Dr3dLightElement,140,0,10,0,46,0,17,0,12,0
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemMapNamedElement,67,0,4,0,24,0,9,0,7,0
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemMapEntryElement,100,21,3,1,32,9,9,3,7,3
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemElement,75,21,9,1,23,9,11,3,6,3
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemSetElement,100,21,3,1,32,9,9,3,7,3
ODFDOM,org.odftoolkit.odfdom.dom.element.config,ConfigConfigItemMapIndexedElement,46,21,3,1,15,9,6,3,4,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeAnnotationElement,379,49,23,3,116,18,40,6,28,5
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentSettingsElement,85,10,6,0,29,4,10,2,7,2
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeMetaElement,63,222,1,1,20,68,6,18,5,18
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDdeSourceElement,196,0,14,0,65,0,23,0,16,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeFontFaceDeclsElement,21,21,1,1,7,9,3,3,2,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeBinaryDataElement,26,0,2,0,11,0,5,0,4,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeMasterStylesElement,53,20,1,1,17,9,5,3,4,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentContentElement,112,22,5,1,37,8,12,3,9,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeChangeInfoElement,55,10,2,0,17,4,6,2,5,2
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeImageElement,34,5,2,0,13,1,5,1,4,1
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeSettingsElement,21,21,1,1,7,9,3,3,2,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeSpreadsheetElement,299,23,8,0,95,8,26,3,22,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentStylesElement,72,10,6,0,25,4,9,2,6,2
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeScriptsElement,34,21,1,1,11,9,4,3,3,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentMetaElement,85,10,6,0,29,4,10,2,7,2
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeScriptElement,54,0,4,0,19,0,8,0,6,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDatabaseElement,99,5,2,0,32,2,10,1,9,1
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeFormsElement,87,25,6,0,28,8,9,4,6,4
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeBodyElement,96,21,1,1,30,8,9,3,8,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDocumentElement,214,0,8,0,70,0,22,0,18,0
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeStylesElement,382,71,1,1,120,24,24,6,23,6
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeEventListenersElement,54,10,2,0,19,4,5,2,4,2
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeDrawingElement,216,10,2,0,69,4,17,2,16,2
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficePresentationElement,264,26,2,0,84,9,20,3,19,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeTextElement,826,47,5,1,252,15,57,5,54,5
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeChartElement,216,10,2,0,69,3,17,2,16,2
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeAutomaticStylesElement,173,20,1,1,54,9,13,3,12,3
ODFDOM,org.odftoolkit.odfdom.dom.element.office,OfficeAnnotationEndElement,7,47,2,2,3,17,3,5,1,5
